start	end	type	var	taint_src	taint_dst	flowLabel
3	6	FLOWS_TO				
6	12	FLOWS_TO				
12	18	FLOWS_TO				
18	24	FLOWS_TO				
24	30	FLOWS_TO				
30	34	FLOWS_TO				
34	40	FLOWS_TO				
40	47	FLOWS_TO				True
40	121	FLOWS_TO				False
47	49	FLOWS_TO				
49	62	FLOWS_TO				
62	72	FLOWS_TO				
72	121	FLOWS_TO				
121	128	FLOWS_TO				True
121	167	FLOWS_TO				False
128	130	FLOWS_TO				
130	138	FLOWS_TO				
143	158	FLOWS_TO				True
143	167	FLOWS_TO				False
138	143	FLOWS_TO				
153	143	FLOWS_TO				
158	153	FLOWS_TO				
167	169	FLOWS_TO				
169	187	FLOWS_TO				
187	196	FLOWS_TO				True
187	239	FLOWS_TO				False
196	204	FLOWS_TO				
204	213	FLOWS_TO				
213	224	FLOWS_TO				
224	232	FLOWS_TO				True
224	239	FLOWS_TO				False
232	239	FLOWS_TO				
239	249	FLOWS_TO				True
239	287	FLOWS_TO				False
249	239	FLOWS_TO				
287	289	FLOWS_TO				
289	306	FLOWS_TO				
306	318	FLOWS_TO				True
306	377	FLOWS_TO				False
318	325	FLOWS_TO				True
318	334	FLOWS_TO				False
325	334	FLOWS_TO				
334	306	FLOWS_TO				
377	381	FLOWS_TO				
381	390	FLOWS_TO				True
381	644	FLOWS_TO				False
390	403	FLOWS_TO				
403	412	FLOWS_TO				
412	444	FLOWS_TO				
444	449	FLOWS_TO				
449	459	FLOWS_TO				True
449	556	FLOWS_TO				False
459	464	FLOWS_TO				
464	470	FLOWS_TO				True
464	481	FLOWS_TO				False
470	490	FLOWS_TO				
481	490	FLOWS_TO				
490	551	FLOWS_TO				
551	449	FLOWS_TO				
556	560	FLOWS_TO				True
556	562	FLOWS_TO				False
560	562	FLOWS_TO				
562	594	FLOWS_TO				
594	603	FLOWS_TO				
603	635	FLOWS_TO				
635	644	FLOWS_TO				
644	663	FLOWS_TO				
663	679	FLOWS_TO				
679	680	FLOWS_TO				
680	4	FLOWS_TO				
449	464	REACHES	reg			
449	470	REACHES	reg			
449	481	REACHES	reg			
